symbol,timestamp,open,high,low,close,volume,vwap
XBTUSD,2017-12-10T18:10:00.000Z,15459.0,15548.0,15458.5,15533.0,2416786,15523.1295
XBTUSD,2017-12-10T18:15:00.000Z,15533.0,15552.5,15467.0,15482.0,1362523,15520.7202
XBTUSD,2017-12-10T18:20:00.000Z,15482.0,15484.0,15335.0,15365.0,6941549,15403.5736
XBTUSD,2017-12-10T18:25:00.000Z,15365.0,15450.0,15342.5,15343.5,3628592,15386.9826
XBTUSD,2017-12-10T18:30:00.000Z,15343.5,15398.0,15290.0,15290.0,4114901,15342.1295
XBTUSD,2017-12-10T18:35:00.000Z,15290.0,15296.5,15165.0,15186.5,8601210,15229.9726
XBTUSD,2017-12-10T18:40:00.000Z,15186.5,15294.0,15186.5,15275.0,3717618,15264.8451
XBTUSD,2017-12-10T18:45:00.000Z,15275.0,15362.5,15252.0,15351.0,2379403,15295.1973
XBTUSD,2017-12-10T18:50:00.000Z,15351.0,15504.0,15351.5,15501.5,5007792,15434.4806
XBTUSD,2017-12-10T18:55:00.000Z,15501.5,15508.0,15354.5,15385.5,4433887,15439.2466
XBTUSD,2017-12-10T19:00:00.000Z,15385.5,15424.0,15320.0,15326.0,3144110,15360.9831
XBTUSD,2017-12-10T19:05:00.000Z,15326.0,15389.0,15287.5,15388.5,3094748,15330.3695
XBTUSD,2017-12-10T19:10:00.000Z,15388.5,15440.0,15375.5,15420.5,2145743,15403.5736
XBTUSD,2017-12-10T19:15:00.000Z,15420.5,15439.0,15396.5,15399.0,1537585,15410.695
XBTUSD,2017-12-10T19:20:00.000Z,15399.0,15399.5,15297.0,15301.0,3989809,15332.72
XBTUSD,2017-12-10T19:25:00.000Z,15301.0,15395.0,15300.5,15365.0,2928818,15356.2654
XBTUSD,2017-12-10T19:30:00.000Z,15365.0,15495.0,15369.5,15491.0,3226889,15448.7873
XBTUSD,2017-12-10T19:35:00.000Z,15491.0,15749.0,15487.0,15645.0,10172270,15644.5557
XBTUSD,2017-12-10T19:40:00.000Z,15645.0,15749.0,15545.0,15672.5,7296712,15659.2546
XBTUSD,2017-12-10T19:45:00.000Z,15672.5,15719.5,15631.0,15644.0,3792283,15688.7355
XBTUSD,2017-12-10T19:50:00.000Z,15644.0,15700.5,15597.0,15681.5,3187775,15669.0693
XBTUSD,2017-12-10T19:55:00.000Z,15681.5,15847.5,15670.5,15833.5,6371250,15770.3832
XBTUSD,2017-12-10T20:00:00.000Z,15833.5,15840.0,15710.0,15730.0,7596717,15782.8283
XBTUSD,2017-12-10T20:05:00.000Z,15730.0,15870.0,15730.0,15790.5,10460448,15817.7792
XBTUSD,2017-12-10T20:10:00.000Z,15790.5,15799.5,15620.0,15627.0,6198774,15718.3276
XBTUSD,2017-12-10T20:15:00.000Z,15627.0,15720.0,15560.0,15615.0,6952881,15654.3519
XBTUSD,2017-12-10T20:20:00.000Z,15615.0,15695.0,15605.5,15656.0,3843060,15659.2546
XBTUSD,2017-12-10T20:25:00.000Z,15656.0,15714.0,15575.0,15660.5,4357431,15651.9017
XBTUSD,2017-12-10T20:30:00.000Z,15660.5,15720.0,15651.0,15690.5,3061330,15686.2745
XBTUSD,2017-12-10T20:35:00.000Z,15690.5,15710.0,15587.0,15599.0,3960291,15664.1604
XBTUSD,2017-12-10T20:40:00.000Z,15599.0,15637.5,15535.0,15582.5,5045048,15588.4645
XBTUSD,2017-12-10T20:45:00.000Z,15582.5,15651.0,15396.0,15419.5,10451347,15523.1295
XBTUSD,2017-12-10T20:50:00.000Z,15419.5,15530.0,15382.5,15470.0,8368291,15467.9041
XBTUSD,2017-12-10T20:55:00.000Z,15470.0,15514.0,15466.0,15512.5,2200508,15489.4672
XBTUSD,2017-12-10T21:00:00.000Z,15512.5,15513.0,15468.0,15468.0,1601258,15489.4672
XBTUSD,2017-12-10T21:05:00.000Z,15468.0,15627.0,15468.0,15621.0,4223441,15527.9503
XBTUSD,2017-12-10T21:10:00.000Z,15621.0,15625.0,15410.5,15486.0,5044865,15515.9038
XBTUSD,2017-12-10T21:15:00.000Z,15486.0,15486.0,15302.5,15351.0,7683997,15375.1538
XBTUSD,2017-12-10T21:20:00.000Z,15351.0,15413.5,15215.0,15249.5,7167583,15304.5608
XBTUSD,2017-12-10T21:25:00.000Z,15249.5,15260.0,14550.0,14759.0,34109062,14927.6011
XBTUSD,2017-12-10T21:30:00.000Z,14759.0,15005.5,14751.5,14899.5,20654961,14905.351
XBTUSD,2017-12-10T21:35:00.000Z,14899.5,15147.0,14900.0,15126.5,13649999,15067.0484
XBTUSD,2017-12-10T21:40:00.000Z,15126.5,15150.0,14822.0,14865.5,7467067,14992.5037
XBTUSD,2017-12-10T21:45:00.000Z,14865.5,15052.0,14801.0,15004.0,9046814,14936.5198
XBTUSD,2017-12-10T21:50:00.000Z,15004.0,15075.0,14724.5,14805.0,10662785,14916.4678
XBTUSD,2017-12-10T21:55:00.000Z,14805.0,14805.0,14570.0,14710.0,9980635,14679.9765
XBTUSD,2017-12-10T22:00:00.000Z,14710.0,14829.0,14666.0,14666.0,7727643,14744.913
XBTUSD,2017-12-10T22:05:00.000Z,14666.0,14998.0,14622.5,14922.5,10974618,14865.4675
XBTUSD,2017-12-10T22:10:00.000Z,14922.5,14969.5,14840.0,14860.5,5895296,14907.573
XBTUSD,2017-12-10T22:15:00.000Z,14860.5,14861.0,14720.0,14799.5,6390736,14786.3374
XBTUSD,2017-12-10T22:20:00.000Z,14799.5,14940.5,14706.0,14937.0,6644283,14827.9953
XBTUSD,2017-12-10T22:25:00.000Z,14937.0,15138.5,14935.5,15093.5,8957340,15071.5901
XBTUSD,2017-12-10T22:30:00.000Z,15093.5,15189.5,15043.0,15089.0,5344280,15114.873
XBTUSD,2017-12-10T22:35:00.000Z,15089.0,15089.0,14948.0,14965.0,5508380,15015.015
XBTUSD,2017-12-10T22:40:00.000Z,14965.0,15094.0,14961.0,15083.5,2830216,15044.3809
XBTUSD,2017-12-10T22:45:00.000Z,15083.5,15086.0,14950.5,15005.0,3592232,15024.0385
XBTUSD,2017-12-10T22:50:00.000Z,15005.0,15040.0,14899.5,14900.0,6597311,14967.8192
XBTUSD,2017-12-10T22:55:00.000Z,14900.0,14962.5,14698.0,14700.0,6855277,14827.9953
XBTUSD,2017-12-10T23:00:00.000Z,14700.0,14777.5,14512.5,14777.5,16135821,14639.1451
XBTUSD,2017-12-10T23:05:00.000Z,14777.5,16000.0,14725.0,15900.0,26498421,15424.9576
XBTUSD,2017-12-10T23:10:00.000Z,15900.0,16149.0,14500.0,15413.0,27814583,15566.6252
XBTUSD,2017-12-10T23:15:00.000Z,15413.0,15704.0,15150.0,15439.5,16235798,15489.4672
XBTUSD,2017-12-10T23:20:00.000Z,15439.5,15742.0,15439.5,15664.5,10298737,15610.3653
XBTUSD,2017-12-10T23:25:00.000Z,15664.5,15745.5,15346.5,15500.0,8878334,15540.0155
XBTUSD,2017-12-10T23:30:00.000Z,15500.0,15724.0,15450.5,15713.0,6449939,15590.8949
XBTUSD,2017-12-10T23:35:00.000Z,15713.0,15852.0,15588.0,15698.0,10400841,15710.9191
XBTUSD,2017-12-10T23:40:00.000Z,15698.0,15749.0,15516.0,15520.0,7913244,15600.624
XBTUSD,2017-12-10T23:45:00.000Z,15520.0,15623.5,15391.0,15478.5,9724511,15499.0701
XBTUSD,2017-12-10T23:50:00.000Z,15478.5,15580.0,15400.0,15510.0,5685691,15506.28
XBTUSD,2017-12-10T23:55:00.000Z,15510.0,15510.0,15103.0,15127.5,11629949,15309.2468
XBTUSD,2017-12-11T00:00:00.000Z,15127.5,15267.0,14897.0,15143.0,28559449,15092.0616
XBTUSD,2017-12-11T00:05:00.000Z,15143.0,15250.0,15103.0,15176.5,5981426,15183.723
XBTUSD,2017-12-11T00:10:00.000Z,15176.5,15271.0,15102.0,15270.0,5829756,15218.3838
XBTUSD,2017-12-11T00:15:00.000Z,15270.0,15475.0,15270.0,15435.0,8346196,15377.5181
XBTUSD,2017-12-11T00:20:00.000Z,15435.0,15435.5,15280.0,15343.5,5764831,15339.776
XBTUSD,2017-12-11T00:25:00.000Z,15343.5,15455.5,15335.0,15422.5,3614606,15401.2013
XBTUSD,2017-12-11T00:30:00.000Z,15422.5,15596.0,15341.5,15374.5,10281920,15491.8668
XBTUSD,2017-12-11T00:35:00.000Z,15374.5,15389.0,15180.0,15337.5,6206055,15285.8453
XBTUSD,2017-12-11T00:40:00.000Z,15337.5,15384.5,15240.0,15373.0,3342742,15302.2188
XBTUSD,2017-12-11T00:45:00.000Z,15373.0,15412.0,15314.5,15355.0,3532014,15360.9831
XBTUSD,2017-12-11T00:50:00.000Z,15355.0,15511.5,15332.5,15511.5,5168684,15441.6306
XBTUSD,2017-12-11T00:55:00.000Z,15511.5,15591.0,15472.5,15555.0,3555836,15537.601
XBTUSD,2017-12-11T01:00:00.000Z,15555.0,15570.0,15461.0,15499.5,3027064,15513.4967
